stage	file_line	algorithm_or_table	independence	observable	uncertainty
storage-oracle-core	PS2Recomp:ps2xRuntime/include/runtime/gs/ps2_gs_psmct32.h:9-36	literal blockTable32[4][8] + columnTable32[8][8] with page formula (block>>5)+(y>>5)*w+(x>>6); byte=(page<<13)+(blockId>>5<<13)+(localBlock*256)+col*4	independent of G43: zero swizzle_PS2 mentions in fork runtime/tests (grep); no ParallelGS include; tables vs G43 bit-arithmetic encoding	literal byte offsets for FBP112/FBW8/CT32-storage coords (REPORT §3); 8/8 match G43 after independent derivation	same GS spec ancestor possible; covers CT32 storage directly, CT24 via row 2
ct24-shares-ct32-storage	PS2Recomp:ps2xRuntime/src/lib/gs/ps2_gs_memory.cpp:228-231,302-305	WriteCT24/ReadCT24 use PixelStorageTraits<C24>::Write/Read with PageTableC32 (the CT32 page table)	same-fork as row 1; independent of G43	CT24 storage address == CT32 storage address; RMW preserves old alpha (ps2_gs_memory.h:485-490)	alpha byte value undefined by address; pixel decode differs (row 7)
fork-table-triplicate	PS2Recomp:ps2xRuntime/src/lib/gs/ps2_gs_memory.cpp:45-51 + ps2xTest/src/ps2_gs_tests.cpp:279-306	BlockTableC32 literal + referenceAddrPSMCT32 re-implementation with kBlockTable32/kColumnTable32; frameBaseToBlock fbp<<5 (ps2_gs_tests.cpp:331-334)	fork-internal consistency (3 copies agree); independent of G43	oracle input convention block=fbp*32 width=fbw; guards against single-typo divergence	three copies could share one transcription error; mitigated by G43 cross-match
g43-crosscheck-target	parallel-gs:gs/shaders/swizzle_utils.h:329-380	swizzle_PS2 PSMCT32/PSMCT24 branch: block_index bit-ops + pixel_index bit-ops; byte=(page*8192)+(block*256)+(col*64)+(pix*4); word=(byte&mask)>>2	G43-internal; NOT used for derivation, comparison only	8/8 coords byte-identical to fork derivation (REPORT §3)	agreement corroborates, does not prove spec reading
g43-geometry	parallel-gs:gs/shaders/swizzle_utils.h:144-156	default branch page 64x32 block 8x8 col-height 2 (CT24 falls in default)	G43-internal; NOT used for derivation	page-boundary meaning of (64,0)/(0,32) rows	geometry itself is G43-sourced
display-selection	parallel-gs:gs/shaders/sample_circuit.frag:108-109 + gs/gs_util.hpp:57-66	coord=(px+dbx, py*phase_stride+dby+phase); effective 2047 wrap; selectedDecode loops y 0..223	G43-documented selection; arithmetic trivially recheckable, storage part is fork	brief 4 coords are sampled grid points: (31,0)=px(31,0) (0,2)=px(0,1) (511,446)=px(511,223); phase/stride verified vs N8D7I metadata	residual dependence: selection semantics come from G43 code, not a second source
base-stride-mask	parallel-gs:gs/shaders/sample_circuit.frag:115 + gs/shaders/data_structures.h:116-121,126	base_256=fbp*PGS_BLOCKS_PER_PAGE (32); stride=fbw; VRAM_MASK 4MiB-1	constants; base cross-checked (=917504, equals N8D7D2 literal)	FBP112 base byte 0xE0000=917504; mask 0x3FFFFF; all 8 offsets <4MiB and distinct	mask semantics (byte vs word) confirmed by >>2 at swizzle_utils.h:378
rgb-vs-alpha	parallel-gs:gs/gs_util.hpp:76-84 + gs/shaders/sample_circuit.frag:62-67	PSMCT24 readback takes low 3 bytes of word; circuit sampler forces alpha 0x80 for non-CT32	G43-internal (decode, not address)	raw-word A/B uses exact 32-bit words; decoded-pixel compare uses RGB only	alpha byte must not gate the verdict; fork applyTexa (gs_cpu_backend.cpp:83-85) differs by consumer
pcsx2-gap	(none found locally)	no local PCSX2 GS local-memory mapping copy: no checkout under ~/dev; T-lane PCSX2 lives on bytesize (ssh denied to this worker); ssx3 docs hold no PCSX2 address source	—	gap: no third oracle; fork-vs-G43 is the only available independent pair	blocks a three-way vote; noted, not worked around
same-run-word-sample	REPORT §4 (design only, no run)	bounded read of 6 word offsets (0x38000 0x3814D 0x38010 0x6FFFD 0x38800 0x3C000) from selected_vram_staging + 8x4 sampled-grid spot checks + positive control	uses row-1 oracle for addresses	proposed A/B/OTHER on exact words with null + positive controls; no occupancy counting	requires a source hook (Android raw-word text); out of scope here, no run proposed beyond design
